filename,source_dir,seed,emitx_nm,emity_nm,n_reach,n_total
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167029.ref,output,167029,100.0,8.0,1304,1293545
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167815.ref,output,167815,100.0,8.0,1166,1262082
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_286038.ref,output,286038,100.0,8.0,1297,1291514
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_360177.ref,output,360177,100.0,8.0,1152,1213286
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_479728.ref,output,479728,100.0,8.0,1297,1291514
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_527875.ref,output,527875,100.0,8.0,1126,1239974
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_100805.ref,output,100805,100.0,20.0,969,985984
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_105469.ref,output,105469,100.0,20.0,964,996590
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_130471.ref,output,130471,100.0,20.0,930,988068
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_135135.ref,output,135135,100.0,20.0,1004,1005776
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_143455.ref,output,143455,100.0,20.0,903,987492
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_145992.ref,output,145992,100.0,20.0,853,997924
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_153768.ref,output,153768,100.0,20.0,887,986708
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_159302.ref,output,159302,100.0,20.0,865,964522
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167029.ref,output,167029,100.0,20.0,961,1010788
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167815.ref,output,167815,100.0,20.0,911,1020190
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_286038.ref,output,286038,100.0,20.0,988,1004320
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_479728.ref,output,479728,100.0,20.0,913,955844
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_527875.ref,output,527875,100.0,20.0,890,977612
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_733579.ref,output,733579,100.0,20.0,967,1025618
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_100805.ref,output,100805,200.0,0.5,905,901374
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_105469.ref,output,105469,200.0,0.5,904,1039794
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_130471.ref,output,130471,200.0,0.5,1101,1061618
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_135135.ref,output,135135,200.0,0.5,1070,1146332
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_143455.ref,output,143455,200.0,0.5,982,1095712
