dataset,eps_y_nm,seed,n_x,n_y,n_z,n_m,channel,n_pairs,n_reach,frac_of_total_pct,reach_frac_of_total_pct,reach_pct,pt_median_MeV,pt_mean_MeV,pt_p90_MeV,pt_p99_MeV,pt_max_MeV,pt_median_reach_MeV,E_median_GeV,E_mean_GeV,theta_median_mrad,frac_pt_gt_20MeV
nominal,4.0,105469,512,512,25,100000,ALL,87728,78,100.0,100.0,0.08891118001094292,2.1453453526324204,6.668315512550766,20.18317055216629,46.08912964115124,135.10961288553432,17.421433571436772,0.08234140000000001,1.2725574959553163,21.27350754180453,10.163231807404706
nominal,4.0,130471,512,512,25,100000,BW,1884,12,2.170206883840944,10.526315789473685,0.6369426751592356,1.6251541773529914,4.869741780985127,14.537242470884356,37.2379105303348,51.22851560355218,17.233086138584458,0.029193900000000002,0.6727634629336517,42.185522648171315,5.89171974522293
nominal,4.0,130471,512,512,25,100000,BH,47124,49,54.28281804358844,42.98245614035088,0.10398098633392751,3.3077254406148295,8.005237405121399,23.367445946297877,45.0691747503793,99.1160059148492,14.293956189557077,0.262876,1.5577805925702188,11.043033096671588,13.078261607673372
nominal,4.0,130471,512,512,25,100000,LL,37804,53,43.54697507257061,46.49122807017544,0.14019680457094488,1.2854795139341777,5.1123891844568226,14.991058697658179,47.29797762611581,102.6287713143275,15.261932472712362,0.018039899999999998,0.8985394107575124,57.411249152824624,7.009840228547244
nominal,4.0,130471,512,512,25,100000,ALL,86812,114,100.0,100.0,0.13131825093305072,2.1404381418012184,6.677442769703757,20.35643858046632,45.795640793181626,102.6287713143275,15.040100096696145,0.0836123,1.2514942967875755,20.918248077306245,10.279684836197761
nominal,4.0,135135,512,512,25,100000,BW,2010,8,2.328113417346182,7.920792079207921,0.39800995024875624,1.561611438116677,4.545362199222315,13.158709051827383,37.08082047898344,49.81270568867126,13.157333578670482,0.024495049999999997,0.6105605884452737,47.27969584206256,5.124378109452736
nominal,4.0,135135,512,512,25,100000,BH,46352,50,53.68791697553743,49.504950495049506,0.10787021056265102,3.29341076685255,7.873333040614506,22.812849717323818,44.611459608152934,78.70832676969853,15.270167034061181,0.249899,1.5515082052915516,11.524014369235342,12.523731446323783
nominal,4.0,135135,512,512,25,100000,LL,37974,43,43.983969607116386,42.57425742574257,0.11323537157002159,1.284696881656678,5.150150239522723,15.175027116914924,48.54609704604937,99.92834193821744,15.146418864443886,0.018334299999999998,0.9349200506466265,56.35653257576712,7.0126928951387795
nominal,4.0,135135,512,512,25,100000,ALL,86336,101,100.0,100.0,0.11698480355819126,2.098651779353102,6.5980902093522555,19.924299600127913,45.79792003527011,99.92834193821744,15.152662232892782,0.08082775,1.2584019310334509,21.794979519956136,9.927492587101556
nominal,4.0,143455,512,512,25,100000,BW,1936,7,2.1988506008222974,8.235294117647058,0.3615702479338843,1.5042891021121862,4.63622292704984,13.458979419919537,34.9188562244807,87.9618035210786,18.461914071558276,0.02525575,0.5149585985816116,48.44076773803147,5.268595041322314
