dataset,eps_y_nm,seed,n_x,n_y,n_z,n_m,channel,n_pairs,n_reach,reach_pct,median_pt_MeV,median_pt_reach_MeV
calibrated,8.0,167815,512,128,64,250000,LL,28520,24,0.08415147265077139,1.221569590721879,14.276953336834282
nominal,8.0,100805,512,512,25,100000,ALL,68868,72,0.10454783063251437,2.1129308634348893,17.6932865016865
nominal,8.0,100805,512,512,25,100000,BH,38186,26,0.06808778086209606,3.293694294397763,17.6932865016865
nominal,8.0,100805,512,512,25,100000,BW,1614,9,0.5576208178438662,1.6551284937866095,26.632719977814897
nominal,8.0,100805,512,512,25,100000,LL,29068,37,0.12728773909453694,1.2440559119756298,15.928621557376971
nominal,8.0,105469,512,512,25,100000,ALL,68808,65,0.09446575979537263,2.1125306971758464,14.50949681213425
nominal,8.0,105469,512,512,25,100000,BH,38406,36,0.09373535385096078,3.2535258161708667,15.772715479236975
nominal,8.0,105469,512,512,25,100000,BW,1658,4,0.24125452352231605,1.4489492761363585,12.983542802234448
nominal,8.0,105469,512,512,25,100000,LL,28744,25,0.08697467297522961,1.2649099485381354,14.50949681213425
nominal,8.0,130471,512,512,25,100000,ALL,68488,63,0.0919869174161897,2.0630448993998924,16.65908946755233
nominal,8.0,130471,512,512,25,100000,BH,37694,32,0.08489414760969916,3.1773890454740865,16.073511420477423
nominal,8.0,130471,512,512,25,100000,BW,1484,9,0.6064690026954178,1.5308914027506495,19.42543429991739
nominal,8.0,130471,512,512,25,100000,LL,29310,22,0.07505970658478335,1.2541302916975268,17.262930987592927
nominal,8.0,135135,512,512,25,100000,ALL,68694,62,0.09025533525489854,2.069112147403412,15.97233801877481
nominal,8.0,135135,512,512,25,100000,BH,37820,23,0.060814383923849816,3.237502896521434,16.47735434525389
nominal,8.0,135135,512,512,25,100000,BW,1666,11,0.6602641056422569,1.3036314419285489,20.83414013377574
